Book	Chapter	# of words/chapter	Approx. reading time (mins)
Psalms	112	172	1
Psalms	113	142	1
Psalms	114	106	1
Psalms	115	274	1
Psalms	116	287	1
Psalms	117	33	0
Psalms	118	465	2
Psalms	119	2445	12
Psalms	120	92	0
Psalms	121	114	1
Psalms	122	130	1
Psalms	123	98	0
Psalms	124	127	1
Psalms	125	112	1
Psalms	126	98	0
Psalms	127	116	1
Psalms	128	94	0
Psalms	129	99	1
Psalms	130	111	1
Psalms	131	55	0
Psalms	132	266	1
Psalms	133	48	0
Psalms	134	36	0
Psalms	135	314	2
Psalms	136	339	2
Psalms	137	151	1
Psalms	138	153	1
Psalms	139	401	2
Psalms	140	231	1
Psalms	141	194	1
Psalms	142	137	1
Psalms	143	235	1
Psalms	144	286	1
Psalms	145	314	2
Psalms	146	160	1
Psalms	147	277	1
Psalms	148	173	1
Psalms	149	126	1
Psalms	150	72	0
Proverbs	1	519	3
Proverbs	2	309	2
Proverbs	3	541	3
Proverbs	4	418	2
Proverbs	5	354	2
Proverbs	6	546	3
Proverbs	7	411	2
Proverbs	8	562	3
Proverbs	9	288	1
Proverbs	10	527	3
Proverbs	11	524	3
Proverbs	12	476	2
Proverbs	13	400	2
Proverbs	14	572	3
Proverbs	15	544	3
Proverbs	16	543	3
Proverbs	17	476	2
Proverbs	18	381	2
Proverbs	19	506	3
Proverbs	20	498	2
Proverbs	21	501	3
Proverbs	22	495	2
Proverbs	23	566	3
Proverbs	24	580	3
Proverbs	25	522	3
Proverbs	26	459	2
Proverbs	27	460	2
Proverbs	28	528	3
Proverbs	29	425	2
Proverbs	30	640	3
Proverbs	31	467	2
Ecclesiastes	1	380	2
Ecclesiastes	2	734	4
Ecclesiastes	3	517	3
Ecclesiastes	4	380	2
Ecclesiastes	5	533	3
Ecclesiastes	6	301	2
Ecclesiastes	7	617	3
Ecclesiastes	8	515	3
Ecclesiastes	9	555	3
Ecclesiastes	10	402	2
Ecclesiastes	11	273	1
Ecclesiastes	12	372	2
The Song of Solomon	1	2186	11
The Song of Solomon	2	2184	11
The Song of Solomon	3	2184	11
The Song of Solomon	4	2185	11
The Song of Solomon	5	2186	11
The Song of Solomon	6	2186	11
The Song of Solomon	7	2186	11
The Song of Solomon	8	2186	11
Isaiah	1	758	4
Isaiah	2	567	3
Isaiah	3	587	3
Isaiah	4	209	1
Isaiah	5	863	4
Isaiah	6	366	2
Isaiah	7	693	3
Isaiah	8	558	3
Isaiah	9	599	3
Isaiah	10	928	5
Isaiah	11	519	3
Isaiah	12	134	1
Isaiah	13	576	3
Isaiah	14	856	4
Isaiah	15	266	1
Isaiah	16	415	2
Isaiah	17	428	2
Isaiah	18	255	1
Isaiah	19	730	4
Isaiah	20	169	1
Isaiah	21	417	2
Isaiah	22	633	3
Isaiah	23	469	2
Isaiah	24	592	3
Isaiah	25	381	2
Isaiah	26	550	3
Isaiah	27	405	2
Isaiah	28	814	4
Isaiah	29	742	4
Isaiah	30	1059	5
Isaiah	31	322	2
Isaiah	32	436	2
Isaiah	33	585	3
Isaiah	34	522	3
Isaiah	35	277	1
Isaiah	36	653	3
Isaiah	37	1131	6
Isaiah	38	592	3
Isaiah	39	268	1
Isaiah	40	796	4
Isaiah	41	804	4
Isaiah	42	676	3
Isaiah	43	711	4
Isaiah	44	886	4
Isaiah	45	774	4
Isaiah	46	342	2
Isaiah	47	471	2
Isaiah	48	627	3
Isaiah	49	867	4
Isaiah	50	365	2
Isaiah	51	771	4
Isaiah	52	405	2
Isaiah	53	387	2
Isaiah	54	493	2
Isaiah	55	399	2
Isaiah	56	361	2
Isaiah	57	569	3
Isaiah	58	521	3
Isaiah	59	590	3
Isaiah	60	665	3
Isaiah	61	380	2
Isaiah	62	362	2
Isaiah	63	538	3
Isaiah	64	308	2
Isaiah	65	753	4
Isaiah	66	811	4
Jeremiah	1	528	3
Jeremiah	2	1019	5
Jeremiah	3	802	4
Jeremiah	4	861	4
Jeremiah	5	874	4
Jeremiah	6	827	4
Jeremiah	7	970	5
Jeremiah	8	706	4
Jeremiah	9	772	4
Jeremiah	10	674	3
Jeremiah	11	749	4
Jeremiah	12	544	3
Jeremiah	13	739	4
Jeremiah	14	688	3
Jeremiah	15	702	4
Jeremiah	16	699	4
Jeremiah	17	829	4
Jeremiah	18	659	3
Jeremiah	19	541	3
Jeremiah	20	594	3
Jeremiah	21	498	2
Jeremiah	22	837	4
Jeremiah	23	1186	6
Jeremiah	24	361	2
Jeremiah	25	1138	6
Jeremiah	26	800	4
Jeremiah	27	729	4
Jeremiah	28	528	3
Jeremiah	29	1005	5
Jeremiah	30	717	4
Jeremiah	31	1294	6
Jeremiah	32	1432	7
Jeremiah	33	842	4
Jeremiah	34	782	4
Jeremiah	35	657	3
Jeremiah	36	1110	6
Jeremiah	37	611	3
Jeremiah	38	984	5
Jeremiah	39	545	3
Jeremiah	40	681	3
Jeremiah	41	664	3
Jeremiah	42	774	4
Jeremiah	43	460	2
Jeremiah	44	1228	6
Jeremiah	45	152	1
Jeremiah	46	821	4
Jeremiah	47	215	1
Jeremiah	48	1172	6
Jeremiah	49	1180	6
Jeremiah	50	1460	7
Jeremiah	51	1853	9
Jeremiah	52	1074	5
Lamentations	1	758	4
Lamentations	2	883	4
Lamentations	3	876	4
Lamentations	4	598	3
Lamentations	5	296	1
Ezekiel	1	870	4
Ezekiel	2	273	1
Ezekiel	3	809	4
Ezekiel	4	519	3
Ezekiel	5	628	3
Ezekiel	6	470	2
Ezekiel	7	768	4
Ezekiel	8	655	3
Ezekiel	9	400	2
Ezekiel	10	659	3
Ezekiel	11	721	4
Ezekiel	12	799	4
Ezekiel	13	738	4
Ezekiel	14	746	4
Ezekiel	15	205	1
Ezekiel	16	1820	9
Ezekiel	17	773	4
Ezekiel	18	919	5
Ezekiel	19	317	2
Ezekiel	20	1601	8
Ezekiel	21	945	5
Ezekiel	22	840	4
Ezekiel	23	1322	7
Ezekiel	24	774	4
Ezekiel	25	507	3
Ezekiel	26	727	4
Ezekiel	27	907	5
Ezekiel	28	809	4
Ezekiel	29	714	4
Ezekiel	30	760	4
Ezekiel	31	680	3
Ezekiel	32	1036	5
Ezekiel	33	1071	5
Ezekiel	34	958	5
Ezekiel	35	402	2
Ezekiel	36	1180	6
Ezekiel	37	870	4
Ezekiel	38	776	4
Ezekiel	39	928	5
Ezekiel	40	1530	8
Ezekiel	41	768	4
Ezekiel	42	536	3
Ezekiel	43	907	5
Ezekiel	44	1031	5
Ezekiel	45	882	4
Ezekiel	46	854	4
Ezekiel	47	780	4
Ezekiel	48	1023	5
Daniel	1	589	3
Daniel	2	1500	8
Daniel	3	992	5
Daniel	4	1290	6
Daniel	5	995	5
Daniel	6	905	5
Daniel	7	926	5
Daniel	8	852	4
Daniel	9	966	5
Daniel	10	647	3
Daniel	11	1529	8
Daniel	12	411	2
Hosea	1	355	2
Hosea	2	678	3
Hosea	3	156	1
Hosea	4	465	2
Hosea	5	368	2
Hosea	6	254	1
Hosea	7	398	2
Hosea	8	330	2
Hosea	9	447	2
Hosea	10	425	2
Hosea	11	308	2
Hosea	12	311	2
Hosea	13	426	2
Hosea	14	232	1
Joel	1	508	3
Joel	2	958	5
Joel	3	567	3
Amos	1	455	2
Amos	2	441	2
Amos	3	397	2
Amos	4	432	2
Amos	5	658	3
Amos	6	399	2
Amos	7	471	2
Amos	8	414	2
Amos	9	549	3
Obadiah	1	669	3
Jonah	1	514	3
Jonah	2	214	1
Jonah	3	260	1
Jonah	4	332	2
Micah	1	452	2
Micah	2	400	2
Micah	3	354	2
Micah	4	476	2
Micah	5	447	2
Micah	6	440	2
Micah	7	583	3
Nahum	1	394	2
Nahum	2	371	2
Nahum	3	519	3
Habakkuk	1	423	2
Habakkuk	2	563	3
Habakkuk	3	489	2
Zephaniah	1	555	3
Zephaniah	2	463	2
Zephaniah	3	598	3
Haggai	1	451	2
Haggai	2	679	3
Zechariah	1	622	3
Zechariah	2	317	2
Zechariah	3	296	1
Zechariah	4	365	2
Zechariah	5	338	2
Zechariah	6	424	2
Zechariah	7	378	2
Zechariah	8	703	4
Zechariah	9	537	3
Zechariah	10	408	2
Zechariah	11	502	3
Zechariah	12	462	2
Zechariah	13	337	2
Zechariah	14	754	4
Malachi	1	487	2
Malachi	2	546	3
Malachi	3	565	3
Malachi	4	183	1
Matthew	1	473	2
Matthew	2	619	3
Matthew	3	387	2
Matthew	4	557	3
Matthew	5	1081	5
Matthew	6	794	4
Matthew	7	626	3
Matthew	8	773	4
Matthew	9	837	4
Matthew	10	919	5
Matthew	11	668	3
Matthew	12	1168	6
Matthew	13	1367	7
Matthew	14	721	4
Matthew	15	785	4
Matthew	16	688	3
Matthew	17	620	3
Matthew	18	869	4
Matthew	19	719	4
Matthew	20	779	4
Matthew	21	1126	6
Matthew	22	828	4
Matthew	23	833	4
Matthew	24	1047	5
Matthew	25	995	5
Matthew	26	1625	8
Matthew	27	1359	7
Matthew	28	421	2
Mark	1	930	5
Mark	2	724	4
Mark	3	663	3
Mark	4	923	5
Mark	5	952	5
Mark	6	1323	7
Mark	7	806	4
Mark	8	842	4
Mark	9	1164	6
Mark	10	1218	6
Mark	11	778	4
Mark	12	1058	5
Mark	13	828	4
Mark	14	1595	8
Mark	15	913	5
Mark	16	449	2
Luke	1	1583	8
Luke	2	1094	5
Luke	3	1017	5
Luke	4	1021	5
Luke	5	949	5
Luke	6	1229	6
Luke	7	1209	6
Luke	8	1431	7
Luke	9	1457	7
Luke	10	992	5
Luke	11	1331	7
Luke	12	1407	7
Luke	13	864	4
Luke	14	812	4
Luke	15	725	4
Luke	16	752	4
Luke	17	809	4
Luke	18	868	4
Luke	19	1047	5
Luke	20	954	5
Luke	21	820	4
Luke	22	1396	7
Luke	23	1117	6
Luke	24	1055	5
John	1	1004	5
John	2	510	3
John	3	763	4
John	4	1094	5
John	5	1001	5
John	6	1506	8
John	7	1002	5
John	8	1307	7
John	9	876	4
John	10	820	4
John	11	1157	6
John	12	1060	5
John	13	826	4
John	14	731	4
John	15	613	3
John	16	789	4
John	17	636	3
John	18	947	5
John	19	1010	5
John	20	749	4
John	21	693	3
Acts	1	661	3
Acts	2	1021	5
Acts	3	634	3
Acts	4	865	4
Acts	5	1026	5
Acts	6	355	2
Acts	7	1430	7
Acts	8	883	4
Acts	9	1046	5
Acts	10	1108	6
Acts	11	667	3
Acts	12	662	3
Acts	13	1272	6
Acts	14	627	3
Acts	15	925	5
Acts	16	943	5
Acts	17	855	4
Acts	18	664	3
Acts	19	975	5
Acts	20	882	4
Acts	21	1067	5
Acts	22	773	4
Acts	23	921	5
Acts	24	640	3
Acts	25	711	4
Acts	26	781	4
Acts	27	1033	5
Acts	28	818	4
Romans	1	714	4
Romans	2	604	3
Romans	3	562	3
Romans	4	546	3
Romans	5	480	2
Romans	6	484	2
Romans	7	605	3
Romans	8	903	5
Romans	9	719	4
Romans	10	461	2
Romans	11	818	4
Romans	12	397	2
Romans	13	361	2
Romans	14	525	3
Romans	15	742	4
Romans	16	517	3
1 Corinthians	1	649	3
1 Corinthians	2	373	2
1 Corinthians	3	459	2
1 Corinthians	4	509	3
1 Corinthians	5	321	2
1 Corinthians	6	465	2
1 Corinthians	7	959	5
1 Corinthians	8	309	2
1 Corinthians	9	671	3
1 Corinthians	10	667	3
1 Corinthians	11	718	4
1 Corinthians	12	593	3
1 Corinthians	13	270	1
1 Corinthians	14	887	4
1 Corinthians	15	1166	6
1 Corinthians	16	464	2
2 Corinthians	1	591	3
2 Corinthians	2	401	2
2 Corinthians	3	389	2
2 Corinthians	4	406	2
2 Corinthians	5	487	2
2 Corinthians	6	357	2
2 Corinthians	7	452	2
2 Corinthians	8	568	3
2 Corinthians	9	355	2
2 Corinthians	10	437	2
2 Corinthians	11	718	4
2 Corinthians	12	589	3
2 Corinthians	13	333	2
Galatians	1	453	2
Galatians	2	573	3
Galatians	3	648	3
Galatians	4	610	3
Galatians	5	447	2
Galatians	6	359	2
Ephesians	1	508	3
Ephesians	2	453	2
Ephesians	3	410	2
Ephesians	4	617	3
Ephesians	5	564	3
Ephesians	6	478	2
Phillipians	1	2186	11
Phillipians	2	2185	11
Phillipians	3	2185	11
Phillipians	4	2185	11
Colossians	1	656	3
Colossians	2	503	3
Colossians	3	457	2
Colossians	4	372	2
1 Thessalonians	1	253	1
1 Thessalonians	2	479	2
1 Thessalonians	3	295	1
1 Thessalonians	4	396	2
1 Thessalonians	5	424	2
2 Thessalonians	1	291	1
2 Thessalonians	2	381	2
2 Thessalonians	3	360	2
1 Timothy	1	432	2
1 Timothy	2	247	1
1 Timothy	3	324	2
1 Timothy	4	310	2
1 Timothy	5	470	2
1 Timothy	6	477	2
2 Timothy	1	438	2
2 Timothy	2	506	3
2 Timothy	3	297	1
2 Timothy	4	453	2
Titus	1	337	2
Titus	2	265	1
Titus	3	313	2
Philemon	1	439	2
Hebrews	1	338	2
Hebrews	2	472	2
Hebrews	3	362	2
Hebrews	4	404	2
Hebrews	5	321	2
Hebrews	6	425	2
Hebrews	7	607	3
Hebrews	8	387	2
Hebrews	9	678	3
Hebrews	10	784	4
Hebrews	11	922	5
Hebrews	12	696	3
Hebrews	13	509	3
James	1	544	3
James	2	528	3
James	3	378	2
James	4	369	2
James	5	485	2
1 Peter	1	597	3
1 Peter	2	549	3
1 Peter	3	551	3
1 Peter	4	479	2
1 Peter	5	300	2
2 Peter	1	488	2
2 Peter	2	581	3
2 Peter	3	484	2
1 John	1	247	1
1 John	2	736	4
1 John	3	534	3
1 John	4	480	2
1 John	5	520	3
2 John	1	298	1
3 John	1	294	1
Jude	1	608	3
Revelation	1	592	3
Revelation	2	802	4
Revelation	3	658	3
Revelation	4	348	2
Revelation	5	435	2
Revelation	6	540	3
Revelation	7	491	2
Revelation	8	397	2
Revelation	9	592	3
Revelation	10	353	2
Revelation	11	580	3
Revelation	12	497	2
Revelation	13	538	3
Revelation	14	651	3
Revelation	15	252	1
Revelation	16	567	3
Revelation	17	522	3
Revelation	18	747	4
Revelation	19	634	3
Revelation	20	477	2
Revelation	21	749	4
Revelation	22	573	3
